Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,FAQ (product.metafields.app--4284493.faq),Is Subscription Bundle (product.metafields.custom.is_subscription_bundle),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Second Description (product.metafields.my_fields.second_description),Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
deluxe-emerald-witch,Deluxe Emerald Witch,"<p>This Deluxe Emerald Witch Dress will transform your child into a powerful enchantress, ready to cast spells, stir up adventures, and twirl with confidence.</p>
<ul>
<li>Crushed black lace velvet bodice with green underneath decorated with a sparkling silver design</li>
<li>Black china silk skirt overlain by organza skirt with a velvet black peplum</li>
<li>Accented with a poufed sleeves and green trims</li>
<li>Breathable, Silky Soft, 100% Polyester Fabrics</li>
<li>Accessories Sold Separately</li>
</ul>","Little Adventures, LLC",Uncategorized,The Deluxe Princess,"butterfly, deluxe, deluxe dress, deluxe-princess-collection, dorothy, elphaba, elpheba, glenda, glinda, lion, new, pink, princess-dress-collection, princess-dress-up-collection, tin man, tinamn, tinman, toto, wizard of oz",true,Size,S (1-3 yrs.),,,,,,,,'15221,172.3651006,shopify,25,deny,manual,59.99,59.99,true,true,,,,,'847942049304,https://cdn.shopify.com/s/files/1/1944/4861/files/15222_DeluxeEmeraldWitch.jpg?v=1782224945,1,Young girl wearing a black and green dress with puffed sleeves on a white background,false,,This newly redesigned Deluxe Cinderella Butterfly Dress is made with durable blue stretch velvet sewn to a blue china silk skirt. Adorned with butterflies that will attract Prince Charming from afar. ,,,,,,,,,,,,,,,,,,lb,,11.87,true,,,true,,,active
deluxe-emerald-witch,,,,,,,,,M (3-5 yrs.),,,,,,,,'15222,208.6524902,shopify,50,deny,manual,59.99,59.99,true,true,,,,,'847942049311,https://cdn.shopify.com/s/files/1/1944/4861/files/15222_DeluxeEmeraldWitch_Bodice.jpg?v=1782224944,2,Close-up of a child wearing a black dress with green decorative brooch.,,,,,,,,,,,,,,,,,,,,,lb,,12.33,,,,,,,
deluxe-emerald-witch,,,,,,,,,L (5-7 yrs.),,,,,,,,'15223,226.796185,shopify,39,deny,manual,59.99,59.99,true,true,,,,,'847942049328,https://cdn.shopify.com/s/files/1/1944/4861/files/15222_DeluxeEmeraldWitch_Sleeve.jpg?v=1782224945,3,Black textured garment with a green embroidered garment underneath on a white background,,,,,,,,,,,,,,,,,,,,,lb,,12.71,,,,,,,
deluxe-emerald-witch,,,,,,,,,XL (7-9 yrs.),,,,,,,,'15224,235.8680324,shopify,16,deny,manual,59.99,59.99,true,true,,,,,'847942049335,https://cdn.shopify.com/s/files/1/1944/4861/files/15222_DeluxeEmeraldWitch_Peplum.jpg?v=1782224944,4,Black patterned long-sleeve top with green trim on a plain background,,,,,,,,,,,,,,,,,,,,,lb,,13.08,,,,,,,
deluxe-emerald-witch,,,,,,,,,2XL (9-11 yrs.),,,,,,,,'15225,267.6194983,shopify,5,deny,manual,64.99,64.99,true,true,,,,,'847942049342,https://cdn.shopify.com/s/files/1/1944/4861/files/15222_DeluxeEmeraldWitch_Skirt.jpg?v=1782224945,5,Black dress with green trim on a white background,,,,,,,,,,,,,,,,,,,,,lb,,13.39,,,,,,,
deluxe-emerald-witch,,,,,,,,,3XL (11-13 yrs.),,,,,,,,'15226,281.2272694,shopify,5,deny,manual,64.99,64.99,true,true,,,,,'847942049359,https://cdn.shopify.com/s/files/1/1944/4861/files/15222_DeluxeEmeraldWitch_Back.jpg?v=1782224944,6,Back view black dress with sheer overlay worn by a person on a white background,,,,,,,,,,,,,,,,,,,,,lb,,13.71,,,,,,,
deluxe-emerald-witch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/15222_Deluxe_Emerald_Witch_IMG_1.jpg?v=1782224944,7,Child in a witch costume standing in a kitchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deluxe-emerald-witch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/15222_Deluxe_Emerald_Witch_IMG_2.jpg?v=1782224945,8,Child in a black dress with green accents standing in a room with a pink playhouse and white cabinets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deluxe-emerald-witch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/15222_Deluxe_Emerald_Witch_IMG_3.jpg?v=1782224945,9,Child in a black dress standing on a carpeted floor with red shoes and a hat nearby.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deluxe-emerald-witch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1944/4861/files/15222_DeluxeEmeraldWitch_Hat.jpg?v=1782224944,10,Child wearing a black witch costume with a green emblem on a white background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
